2019-10-02 20:10:54,810 [  15037]   INFO - ij.psi.stubs.StubUpdatingIndex - Following new file types will be indexed:DGM File Type,sbt,Properties,kotlin_builtins,Markdown,HTML,Scala,CLASS,KNM,Kotlin,Scala Worksheet,KJSM,JAVA,Groovy,XML 
2019-10-02 20:10:54,960 [  15187]   INFO - penapi.wm.impl.GlobalMenuLinux - disable global-menu integration because some of shared libraries isn't installed: java.lang.UnsatisfiedLinkError: /opt/intellij-idea-community/bin/libdbm64.so: libdbusmenu-glib.so.4: cannot open shared object file: No such file or directory 
2019-10-02 20:10:55,071 [  15298]   INFO - com.intellij.ide.ui.UISettings - Loaded: fontSize=12, fontScale=1.0; restored: fontSize=12, fontScale=1.0 
2019-10-02 20:10:55,345 [  15572]   INFO - pl$FileIndexDataInitialization - Initialization done:1737 
2019-10-02 20:10:55,483 [  15710]   INFO - exImpl$StubIndexInitialization - Initialization done:137 
2019-10-02 20:10:57,240 [  17467]   INFO - rationStore.ComponentStoreImpl - Saving appDebuggerSettings took 21 ms 
2019-10-02 20:10:57,672 [  17899]   INFO - stubs.SerializationManagerImpl - START StubSerializationManager SHUTDOWN 
2019-10-02 20:10:57,675 [  17902]   INFO - stubs.SerializationManagerImpl - END StubSerializationManager SHUTDOWN 
2019-10-02 20:10:57,675 [  17902]   INFO - il.indexing.FileBasedIndexImpl - START INDEX SHUTDOWN 
2019-10-02 20:10:57,757 [  17984]   INFO - il.indexing.FileBasedIndexImpl - END INDEX SHUTDOWN 
2019-10-02 20:10:57,760 [  17987]   INFO - org.jetbrains.io.BuiltInServer - web server stopped 
2019-10-02 20:10:57,763 [  17990]   INFO - Types.impl.FileTypeManagerImpl - FileTypeManager: 0 auto-detected files
Elapsed time on auto-detect: 0 ms 
2019-10-02 20:10:57,767 [  17994]   INFO - pl.local.NativeFileWatcherImpl - Watcher terminated with exit code 0 
2019-10-02 20:10:57,768 [  17995]   INFO - newvfs.persistent.PersistentFS - VFS dispose started 
2019-10-02 20:10:57,775 [  18002]   INFO - newvfs.persistent.PersistentFS - VFS dispose completed 
2019-10-02 20:10:57,779 [  18006]   INFO -        #com.intellij.idea.Main - ------------------------------------------------------ IDE SHUTDOWN ------------------------------------------------------ 
2019-10-02 20:10:57,781 [  18008]   INFO - org.jetbrains.io.BuiltInServer - web server stopped 
